area_id,area_name
airport_fare_zone,Airport
berthoud,Berthoud Mobility Hub
centerraloveland,Centerra Loveland Mobility Hub
csprings,Colorado Springs
denver_bustang,Denver
eagle,Eagle
firestonelongmont,Firestone-Longmont Mobility Hub
free_service,Free Service
frisco,Fricso
ftcollins,Ft. Collins
glenwood,Glenwood Springs
grandjct,Grand Junction
idahospgs,Idaho Springs
local_fare_zone,Local Fare Zone
monument,Monument Park and Ride
natl_park,Rocky Mountain National Park
parachute,Parachute
rifle,Rifle
ski_area,Ski Area
woodmen,Woodmen Park and Ride
