service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
DPSWK_merged_115532089,20250119,20250524,1,1,1,1,1,0,0
DPSWK_merged_115532096,20250525,20250830,1,1,1,1,1,0,0
FR_3681,20250519,20250519,0,0,0,0,1,0,0
FR_3696,20250512,20250512,0,0,0,0,1,0,0
FR_3697,20250513,20250515,0,0,0,0,1,0,0
FR_merged_115532087,20250119,20250524,0,0,0,0,1,0,0
FR_merged_115532094,20250525,20250830,0,0,0,0,1,0,0
MT_3681,20250519,20250519,1,1,1,1,0,0,0
MT_3696,20250512,20250512,1,1,1,1,0,0,0
MT_3697,20250513,20250515,1,1,1,1,0,0,0
MT_merged_115532091,20250119,20250524,1,1,1,1,0,0,0
MT_merged_115532098,20250525,20250830,1,1,1,1,0,0,0
P_Fri_merged_115532093,20250119,20250524,0,0,0,0,1,0,0
P_Fri_merged_115532100,20250525,20250830,0,0,0,0,1,0,0
SA_3681,20250519,20250519,0,0,0,0,0,1,0
SA_3696,20250512,20250512,0,0,0,0,0,1,0
SA_3697,20250513,20250515,0,0,0,0,0,1,0
SA_merged_115532092,20250119,20250524,0,0,0,0,0,1,0
SA_merged_115532099,20250525,20250830,0,0,0,0,0,1,0
SU_3681,20250519,20250519,0,0,0,0,0,0,1
SU_3696,20250512,20250512,0,0,0,0,0,0,1
SU_3697,20250513,20250515,0,0,0,0,0,0,1
SU_merged_115532090,20250119,20250524,0,0,0,0,0,0,1
SU_merged_115532097,20250525,20250830,0,0,0,0,0,0,1
WK_3681,20250519,20250519,1,1,1,1,1,0,0
WK_3696,20250512,20250512,1,1,1,1,1,0,0
WK_3697,20250513,20250515,1,1,1,1,1,0,0
WK_merged_115532088,20250119,20250524,1,1,1,1,1,0,0
WK_merged_115532095,20250525,20250830,1,1,1,1,1,0,0
