service_id,date,exception_type
DPSWK_merged_115662455,20250526,2
DPSWK_merged_115662455,20250704,2
DPSWK_merged_115662462,20250901,2
DPSWK_merged_115662462,20251127,2
DPSWK_merged_115662462,20251225,2
DPSWK_merged_115662462,20260101,2
FR_merged_115662454,20250704,2
MT_merged_115662458,20250526,2
MT_merged_115662465,20250901,2
MT_merged_115662465,20251127,2
MT_merged_115662465,20251225,2
MT_merged_115662465,20260101,2
P_Fri_merged_115662459,20250526,2
P_Fri_merged_115662459,20250704,2
P_Fri_merged_115662466,20250901,2
P_Fri_merged_115662466,20251127,2
P_Fri_merged_115662466,20251225,2
P_Fri_merged_115662466,20260101,2
SU_merged_115662457,20250526,1
SU_merged_115662457,20250704,1
SU_merged_115662464,20250901,1
SU_merged_115662464,20251127,1
SU_merged_115662464,20251225,1
SU_merged_115662464,20260101,1
WK_merged_115662456,20250526,2
WK_merged_115662456,20250704,2
WK_merged_115662463,20250901,2
WK_merged_115662463,20251127,2
WK_merged_115662463,20251225,2
WK_merged_115662463,20260101,2
