route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0,RTD,0,Broadway,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/0,0076CE,FFFFFF
0B,RTD,0B,South Broadway,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/0B,0076CE,FFFFFF
0L,RTD,0L,South Broadway Limited,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/0L,0076CE,FFFFFF
1,RTD,1,West 1st Avenue,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/1,0076CE,FFFFFF
10,RTD,10,East 12th Avenue,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/10,0076CE,FFFFFF
100,RTD,100,Kipling Street,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/100,0076CE,FFFFFF
101C,RTD,C,Union Station to Mineral Station,This Route Travels Northbound & Southbound,0,https://app.rtd-denver.com/nextride/route/C,F79239,FFFFFF
101D,RTD,D,18th&California Station to Mineral Station,This Route Travels Northbound & Southbound,0,https://app.rtd-denver.com/nextride/route/D,008348,FFFFFF
101E,RTD,E,Union Station to RidgeGate Parkway Station,This Route Travels Northbound & Southbound,0,https://app.rtd-denver.com/nextride/route/E,552683,FFFFFF
101T,RTD,T,Lincoln Station to I-25/Broadway Station,This Route Travels Northbound & Southbound,0,https://app.rtd-denver.com/nextride/route/T,B71318,FFFFFF
103W,RTD,W,Union Station to Jefferson County Government Center-Golden Station,This Route Travels Eastbound & Westbound,0,https://app.rtd-denver.com/nextride/route/W,009DAA,FFFFFF
104L,RTD,104L,Wagon Road / Denver Airport Limited,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/104L,0076CE,FFFFFF
105,RTD,105,Havana Street,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/105,0076CE,FFFFFF
107R,RTD,R,RidgeGate Parkway Station to Peoria Station,This Route Travels Northbound & Southbound,0,https://app.rtd-denver.com/nextride/route/R,C4D600,000000
11,RTD,11,Mississippi Avenue,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/11,0076CE,FFFFFF
112,RTD,112,West 112th Avenue,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/112,0076CE,FFFFFF
113B,RTD,B,Union Station to Westminster Station,This Route Travels Eastbound & Westbound,2,https://app.rtd-denver.com/nextride/route/B,4E9D2D,FFFFFF
113G,RTD,G,Union Station to Wheat Ridge Ward Station,This Route Travels Eastbound & Westbound,2,https://app.rtd-denver.com/nextride/route/G,F6B221,FFFFFF
116X,RTD,116X,South Simms Express,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/116X,64A70B,FFFFFF
117N,RTD,N,Union Station to Eastlake & 124th Station,This Route Travels Northbound & Southbound,2,https://app.rtd-denver.com/nextride/route/N,9F26B5,FFFFFF
12,RTD,12,South Downing,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/12,0076CE,FFFFFF
120,RTD,120,120th Avenue Crosstown,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/120,0076CE,FFFFFF
120L,RTD,120L,Thornton / Brighton,This Route Travels Eastbound & Westbound,3,https://app.rtd-denver.com/nextride/route/120L,0076CE,FFFFFF
120X,RTD,120X,Wagon Road / Thornton Express,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/120X,64A70B,FFFFFF
121,RTD,121,Peoria Street,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/121,0076CE,FFFFFF
130,RTD,130,Yale / Buckley,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/130,0076CE,FFFFFF
133,RTD,133,Hampden/Tower,This Route Travels Northbound & Southbound,3,https://app.rtd-denver.com/nextride/route/133,0076CE,FFFFFF
