parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,39.457477,0,33838,-104.756527,,,33838,Vehicles Travelling North,Pinery,1,,
,39.467052,0,33837,-105.396773,,,33837,Vehicles Travelling North,Pine Junction,1,,
,39.484724,1,22291,-104.75877,,,22291,Vehicles Travelling Southeast,S Parker Rd & J Morgan Blvd,0,,
,39.485659,1,22292,-104.758454,,,22292,Vehicles Travelling Northwest,S Parker Rd & J Morgan Blvd,0,,
,39.499889,1,23012,-104.7619,,,23012,Vehicles Travelling South,S Parker Rd & Indianpipe Ln,0,,
,39.500655,1,23013,-104.761594,,,23013,Vehicles Travelling North,S Parker Rd & Indianpipe Ln,0,,
,39.502526,0,33846,-105.322924,,,33846,Vehicles Travelling North,US 285 / Mountain View,1,,
,39.509096,1,25318,-104.763797,,,25318,Vehicles Travelling South,S Parker Rd & Twentymile Rd,0,,
,39.510168,1,25796,-104.767538,,,25796,Vehicles Travelling East,Twenty Mile Rd & Pavillion Dr,0,,
,39.510437,1,25798,-104.767321,,,25798,Vehicles Travelling West,Twenty Mile Rd & Dransfeldt Rd,0,,
,39.511096,1,25319,-104.763655,,,25319,Vehicles Travelling North,S Parker Rd & Hilltop Rd,0,,
,39.511359,1,25795,-104.770301,,,25795,Vehicles Travelling South,S Dransfeldt Rd & Twenty Mile Rd,0,,
,39.513184,1,25799,-104.769838,,,25799,Vehicles Travelling North,S Dransfeldt Rd & Twenty Mile Rd,0,,
,39.514841,1,26128,-104.792191,,,26128,Vehicles Travelling East,Mainstreet & Jordan Rd,0,,
,39.515445,1,26129,-104.793248,,,26129,Vehicles Travelling North,S Jordan Rd & Mainstreet,0,,
,39.515456,1,34759,-104.769925,,,34759,Vehicles Travelling North,Dransfeldt Rd & Mainstreet,0,,
,39.517274,1,26450,-104.786567,,,26450,Vehicles Travelling West,Mainstreet & Motsenbocker Rd,0,,
,39.517604,1,26445,-104.785618,,,26445,Vehicles Travelling East,Mainstreet & Motsenbocker Rd,0,,
,39.517939,1,25794,-104.770876,,,25794,Vehicles Travelling South,Dransfeldt Rd & Mainstreet,0,,
,39.517984,1,26444,-104.793597,,,26444,Vehicles Travelling South,S Jordan Rd & Clark Farms South,0,,
,39.518089,1,26446,-104.774152,,,26446,Vehicles Travelling East,Mainstreet & Twentymile Rd,0,,
,39.518365,1,25797,-104.765248,,,25797,Vehicles Travelling South,S Parker Rd & Mainstreet,0,,
,39.518478,1,26448,-104.771228,,,26448,Vehicles Travelling West,Mainstreet & Dransfeldt Rd,0,,
,39.518512,1,26449,-104.775354,,,26449,Vehicles Travelling West,Mainstreet & Twentymile Rd,0,,
,39.51861,1,26451,-104.793259,,,26451,Vehicles Travelling North,S Jordan Rd & Clarke Farms Dr South,0,,
,39.518691,1,25746,-104.764469,,,25746,Vehicles Travelling East,Mainstreet & S Parker Rd,0,,
,39.519319,1,20419,-104.762688,,,20419,Vehicles Travelling North,Victorian Dr & Mainstreet,0,,
,39.51936,0,35245,-104.865365,,,35245,Vehicles Travelling North,Ridgegate Parkway Station,1,,
,39.519656,1,20421,-104.762856,,,20421,Vehicles Travelling South,Victorian Dr & Mainstreet,0,,
,39.523334,0,33836,-104.763812,,,33836,Vehicles Travelling North,Parker,1,,
,39.523608,1,26443,-104.793616,,,26443,Vehicles Travelling South,S Jordan Rd & Clarke Farms Dr N,0,,
,39.524348,1,26452,-104.793277,,,26452,Vehicles Travelling North,S Jordan Rd & Clark Farms Dr North,0,,
,39.52694,1,25750,-104.77125,,,25750,Vehicles Travelling North,Drasnfeldt Rd & Plaza Dr,0,,
,39.527594,1,21219,-104.766074,,,21219,Vehicles Travelling Northwest,S Parker Rd & Plaza Dr,0,,
,39.527669,0,35244,-104.86294,,,35244,Vehicles Travelling North,Lone Tree City Center Station,1,,
,39.527759,1,34760,-104.771562,,,34760,Vehicles Travelling South,Dransfeldt Rd & Plaza Dr,0,,
,39.529904,1,26440,-104.793567,,,26440,Vehicles Travelling South,S Jordan Rd & Rock Brook Blvd,0,,
,39.529975,1,21218,-104.766825,,,21218,Vehicles Travelling Southeast,S Parker Rd & Mountain Man Dr,0,,
,39.530329,1,26453,-104.793283,,,26453,Vehicles Travelling North,S Jordan Rd & Rock Brook Blvd,0,,
,39.531772,1,25742,-104.771596,,,25742,Vehicles Travelling South,Dransfeldt Rd & Progress Ln,0,,
,39.532268,0,35243,-104.869854,,,35243,Vehicles Travelling North,Sky Ridge Station,1,,
,39.532527,1,25751,-104.771432,,,25751,Vehicles Travelling North,Dransfeldt Rd & Progress Ln,0,,
,39.533321,1,24945,-105.021923,,,24945,Vehicles Travelling East,Highlands Ranch Pkwy & Westridge Pkwy,0,,
,39.533475,1,24972,-105.022933,,,24972,Vehicles Travelling West,Highlands Ranch Pkwy & Deer Creek St,0,,
,39.534167,0,33819,-104.795119,,,33819,Vehicles Travelling North,Lincoln / Jordan,1,,
,39.534393,1,21814,-104.805468,,,21814,Vehicles Travelling Southeast,Lincoln Ave & Stonegate Pkwy,0,,
,39.534584,1,24944,-105.027587,,,24944,Vehicles Travelling East,Highlands Ranch Pkwy & White Oak Ln,0,,
,39.535036,1,24973,-105.027811,,,24973,Vehicles Travelling West,Highlands Ranch Pkwy & White Oak Ln,0,,
,39.535226,1,21817,-104.806548,,,21817,Vehicles Travelling Northwest,Lincoln Ave & Stonegate Pkwy,0,,
,39.53545,1,25741,-104.771873,,,25741,Vehicles Travelling South,Dransfeldt Rd & Lincoln Ave,0,,
,39.535531,1,34276,-105.017194,,,34276,Vehicles Travelling Northeast,Highlands Ranch Pkwy & Wildcat Reserve Pkwy,0,,
,39.535948,1,24943,-105.029375,,,24943,Vehicles Travelling East,Highlands Ranch Pkwy & Boardwalk Dr,0,,
,39.536004,1,24971,-105.017108,,,24971,Vehicles Travelling West,Highlands Ranch Pkwy & Spring Hill Pkwy,0,,
,39.536105,1,23505,-104.860965,,,23505,Vehicles Travelling East,Lincoln Ave & S Havana St,0,,
,39.536127,1,25712,-104.872132,,,25712,Vehicles Travelling East,Lincoln Ave & Park Meadows Dr,0,,
,39.536152,1,26438,-104.852118,,,26438,Vehicles Travelling East,Lincoln Ave & S Oswego St,0,,
,39.536162,1,24847,-104.845539,,,24847,Vehicles Travelling East,Lincoln Ave & Jefferson Pkwy,0,,
,39.536213,1,33010,-104.836563,,,33010,Vehicles Travelling East,Lincoln Ave & S Peoria St,0,,
,39.536248,1,25093,-104.822954,,,25093,Vehicles Travelling East,Lincoln Ave & Meridian Village Pkwy,0,,
,39.536357,1,26525,-104.813873,,,26525,Vehicles Travelling East,Lincoln Ave & 6th St,0,,
,39.536394,1,33262,-104.811573,,,33262,Vehicles Travelling East,Lincoln Ave & Chambers Rd,0,,
,39.536396,1,23506,-104.860257,,,23506,Vehicles Travelling West,Lincoln Ave & S Havana St,0,,
,39.536449,1,26437,-104.852886,,,26437,Vehicles Travelling West,Lincoln Ave & S Oswego St,0,,
,39.536462,1,24846,-104.845453,,,24846,Vehicles Travelling West,Lincoln Ave & Jefferson Pkwy,0,,
,39.536496,1,25092,-104.823973,,,25092,Vehicles Travelling West,Lincoln Ave & 3rd St,0,,
,39.5365,1,33011,-104.837094,,,33011,Vehicles Travelling West,Lincoln Ave & S Peoria St,0,,
,39.536544,1,24974,-105.029736,,,24974,Vehicles Travelling West,Highlands Ranch Pkwy & Boardwalk Dr,0,,
,39.53666,1,22904,-104.814169,,,22904,Vehicles Travelling West,Lincoln Ave & 6th St,0,,
,39.53671,1,24855,-104.771479,,,24855,Vehicles Travelling East,Lincoln Ave & Dransfeldt Rd,0,,
,39.536874,1,24946,-105.015778,,,24946,Vehicles Travelling East,Highlands Ranch Pkwy & Wildcat Reserve Pkwy,0,,
,39.537474,1,24942,-105.031804,,,24942,Vehicles Travelling East,Highlands Ranch Pkwy & Rosewalk Dr,0,,
,39.537732,1,25727,-104.873476,,,25727,Vehicles Travelling South,Park Meadows Dr & Lincoln Ave Nearside,0,,
,39.537788,1,26439,-104.873198,,,26439,Vehicles Travelling North,Park Meadows Dr & Lincoln Ave Farside,0,,
,39.537829,1,21754,-104.768102,,,21754,Vehicles Travelling Northwest,S Parker Rd & Lincoln Ave,0,,
,39.537948,1,24975,-105.032451,,,24975,Vehicles Travelling West,Highlands Ranch Pkwy & Bucknell Dr E,0,,
,39.538016,1,24941,-105.033644,,,24941,Vehicles Travelling East,Highlands Ranch Pkwy & Rosewalk Dr,0,,
,39.538067,1,24880,-105.035335,,,24880,Vehicles Travelling East,Highlands Ranch Pkwy & S Santa Fe Dr,0,,
,39.538241,1,25740,-104.768824,,,25740,Vehicles Travelling Southwest,S Parker Rd & Lincoln Ave,0,,
,39.538294,1,24976,-105.034462,,,24976,Vehicles Travelling West,Highlands Ranch Pkwy & Bucknell Dr W,0,,
,39.53888,1,24970,-105.014152,,,24970,Vehicles Travelling West,Highlands Ranch Pkwy & Foothills Canyon Blvd,0,,
,39.53933,1,24645,-105.013239,,,24645,Vehicles Travelling Northeast,Highlands Ranch Pkwy & Foothills Canyon Blvd,0,,
,39.539861,1,33243,-104.811086,,,33243,Vehicles Travelling South,S Chamber Rd & Brookstone Dr,0,,
,39.540104,1,24954,-104.960878,,,24954,Vehicles Travelling East,Highlands Ranch Pkwy & Venneford Ranch Rd,0,,
,39.540213,1,25726,-104.872728,,,25726,Vehicles Travelling South,10400 Block Park Meadows Dr,0,,
,39.540334,1,33242,-104.810577,,,33242,Vehicles Travelling North,S Chambers Rd & Brookstone Dr,0,,
,39.540429,1,24961,-104.955309,,,24961,Vehicles Travelling West,Highlands Ranch Pkwy & Montclair Dr,0,,
,39.540537,1,24959,-104.954132,,,24959,Vehicles Travelling East,Highlands Ranch Pkwy & Clairton Dr,0,,
,39.540612,1,24962,-104.961869,,,24962,Vehicles Travelling West,Highlands Ranch Pkwy & Venneford Ranch Rd,0,,
,39.541051,0,33793,-105.298494,,,33793,Vehicles Travelling North,Aspen Park,1,,
,39.541779,1,25725,-104.871217,,,25725,Vehicles Travelling Southeast,10300 Block Park Meadows Dr,0,,
,39.542253,1,25730,-104.870826,,,25730,Vehicles Travelling Northwest,10300 Block Park Meadows Dr,0,,
,39.542275,1,24431,-104.912828,,,24431,Vehicles Travelling North,S Quebec St & Lincoln Ave,0,,
,39.542442,1,24663,-104.931468,,,24663,Vehicles Travelling East,S University Blvd & S Cresthill Ln,0,,
,39.542508,1,25085,-104.913941,,,25085,Vehicles Travelling West,S University Blvd & S Quebec St,0,,
,39.542592,1,24662,-104.937144,,,24662,Vehicles Travelling East,S University Blvd & Teal Ridge Ct,0,,
,39.542686,1,34918,-104.94883,,,34918,Vehicles Travelling South,Highlands Ranch Pkwy & Viaggio Way,0,,
,39.542742,1,24672,-104.931402,,,24672,Vehicles Travelling West,S University Blvd & S Cresthill Ln,0,,
,39.542838,1,24969,-105.009865,,,24969,Vehicles Travelling West,Highlands Ranch Pkwy & Desert Willow Rd,0,,
,39.542876,1,24673,-104.937225,,,24673,Vehicles Travelling West,S University Blvd & Teal Ridge Ct,0,,
,39.542907,1,34917,-104.947354,,,34917,Vehicles Travelling East,Highlands Ranch Pkwy & Fairview Pkwy,0,,
,39.543153,1,24646,-105.009057,,,24646,Vehicles Travelling Northeast,Highlands Ranch Pkwy & Westridge Knolls Ave,0,,
,39.543305,1,33475,-104.942347,,,33475,Vehicles Travelling Southeast,9500 Block S University Blvd,0,,
,39.543374,1,24953,-104.970508,,,24953,Vehicles Travelling East,Highlands Ranch Pkwy & S Ranch Rd,0,,
,39.54368,1,21755,-104.771879,,,21755,Vehicles Travelling Southeast,S Parker Rd & Pine Ln,0,,
,39.543851,1,23844,-104.91153,,,23844,Vehicles Travelling South,S Quebec St & Trailhead Rd,0,,
,39.543934,1,24664,-104.923628,,,24664,Vehicles Travelling East,S University Blvd & S Crosspointe Dr,0,,
,39.543953,1,25062,-104.917725,,,25062,Vehicles Travelling East,S University Blvd & Crossland Way,0,,
,39.54402,1,24671,-104.924444,,,24671,Vehicles Travelling West,S University Blvd & S Crosspointe Dr,0,,
,39.544141,1,24661,-104.943777,,,24661,Vehicles Travelling Southeast,S University Blvd & Highlands Ranch Pkwy,0,,
,39.544153,1,24674,-104.943294,,,24674,Vehicles Travelling West,S University Blvd & S Colorado Blvd,0,,
,39.544393,1,25060,-104.918528,,,25060,Vehicles Travelling West,S University Blvd & Crossland Way,0,,
,39.544415,1,24963,-104.971743,,,24963,Vehicles Travelling West,Highlands Ranch Pkwy & Windsor Way,0,,
