block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183774
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183777
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183782
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183788
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183806
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183810
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183811
a_0  1,0,0,Union Station,1295660,SA_merged_115560897,115183829
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183936
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183940
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183947
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183948
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183950
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183968
a_0  1,0,0,Union Station,1295660,SU_merged_115560894,115183978
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184060
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184070
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184073
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184081
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184101
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184103
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184114
a_0  1,0,0,Union Station,1295660,WK_merged_115560893,115184115
a_0  1,0,0,Union Station,1295667,WK_merged_115560893,115184045
a_0  1,0,0,Union Station,1295669,SA_merged_115560897,115183821
a_0  1,0,0,Union Station,1295669,SA_merged_115560897,115183832
a_0  1,0,0,Union Station,1295669,SU_merged_115560894,115183979
a_0  1,0,0,Union Station,1295669,WK_merged_115560893,115184069
a_0  1,0,1,Englewood Station,1295691,SA_merged_115560897,115183905
a_0  1,0,1,Englewood Station,1295691,WK_merged_115560893,115184126
a_0  1,0,1,Englewood Station,1295691,WK_merged_115560893,115184136
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183863
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183876
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183880
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183885
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183888
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183909
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183910
a_0  1,0,1,Englewood Station,1295693,SA_merged_115560897,115183918
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115183982
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115183985
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115183991
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115184001
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115184003
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115184012
a_0  1,0,1,Englewood Station,1295693,SU_merged_115560894,115184028
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184139
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184150
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184163
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184171
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184174
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184179
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184183
a_0  1,0,1,Englewood Station,1295693,WK_merged_115560893,115184190
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183772
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183781
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183785
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183789
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183790
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183808
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183822
a_0  2,0,0,Union Station,1295660,SA_merged_115560897,115183827
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183922
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183924
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183931
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183934
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183945
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183953
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183966
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183969
a_0  2,0,0,Union Station,1295660,SU_merged_115560894,115183972
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184057
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184058
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184059
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184088
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184094
a_0  2,0,0,Union Station,1295660,WK_merged_115560893,115184109
a_0  2,0,0,Union Station,1295669,SA_merged_115560897,115183776
a_0  2,0,0,Union Station,1295669,WK_merged_115560893,115184099
a_0  2,0,1,Englewood Station,1295691,SA_merged_115560897,115183912
a_0  2,0,1,Englewood Station,1295691,WK_merged_115560893,115184155
a_0  2,0,1,Englewood Station,1295693,SA_merged_115560897,115183852
a_0  2,0,1,Englewood Station,1295693,SA_merged_115560897,115183857
a_0  2,0,1,Englewood Station,1295693,SA_merged_115560897,115183862
a_0  2,0,1,Englewood Station,1295693,SA_merged_115560897,115183869
a_0  2,0,1,Englewood Station,1295693,SA_merged_115560897,115183879
