stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code
161570,33086,Walnut Street and 11th Street,,40.016652444,-105.280439327,,0,America/Denver,0,
161571,33083,9th Street and Boulder Creek,,40.01399231,-105.2833633,,0,America/Denver,0,
161572,33082,9th Street and University Avenue NB,,40.01007221,-105.281961606,,0,America/Denver,0,
161573,33133,9th Street and University Avenue SB,,40.009968172,-105.282121933,,0,America/Denver,0,
161574,33084,9th Street and Walnut Street NB,,40.0165373,-105.283622761,,0,America/Denver,0,
161575,25303,9th Street and Walnut Street SB,,40.01614761,-105.2837219,,0,America/Denver,0,
161576,B20TH,Broadway and 20th Avenue,,40.00348282,-105.2680664,,0,America/Denver,0,
161577,BCANY,Broadway and Canyon SB,,40.015157688,-105.279126971,,0,America/Denver,0,
161578,UMC,UMC,,40.006488403,-105.272951139,,0,America/Denver,0,
161579,BCOLL,Broadway and College Avenue,,40.00786591,-105.2753067,,0,America/Denver,0,
161580,BREG,Broadway and Regent Drive,,40.00398254,-105.2685699,,0,America/Denver,0,
161581,BUNIV,Broadway and University Avenue,,40.009782761,-105.276595183,,0,America/Denver,0,
161582,33085,Pearl Street and 10th Street WB,,40.017328797,-105.282924068,,0,America/Denver,0,
161583,16632,Spruce Street and Broadway,,40.019045,-105.280031,,0,America/Denver,0,
161584,25174,Pearl Street and 18th Street,,40.019628418,-105.271953602,,0,America/Denver,0,
161585,33134,College Avenue and 9th Street WB,,40.007228956,-105.281760978,,0,America/Denver,0,
161586,33179,Pearl Street West of 26th Street,,40.021823,-105.261334,,0,America/Denver,0,
161587,22911,Pearl Street and 23rd Street,,40.020893,-105.265711,,0,America/Denver,0,
161588,33814,Euclid Avenue and 18th Street,,40.005891968,-105.269872057,,0,America/Denver,0,
161589,19779,Pearl Street and 20th Street,,40.020053,-105.269267,,0,America/Denver,0,
161590,33135,College Avenue and 11th Street,,40.007253683,-105.27845187,,0,America/Denver,0,
161591,33078,Folsom Street and Taft Drive,,40.01162145,-105.263382312,,0,America/Denver,0,
161592,19784,Pearl Street East of 26th Street,,40.022093568,-105.260107746,,0,America/Denver,0,
161593,33139,Folsom Street and Colorado Avenue,,40.008849,-105.264048,,0,America/Denver,0,
161594,19781,Pearl Street and Folsom Street,,40.021374,-105.262543,,0,America/Denver,0,
161595,33136,14th Street and College Avenue,,40.007087,-105.275072,,0,America/Denver,0,
161596,33077,Folsom Street and Arapahoe Avenue,,40.014201186,-105.262954914,,0,America/Denver,0,
161597,10843,2100 Block 30th Street,,40.021767,-105.25381,,0,America/Denver,0,
161598,33141,Folsom Street and Arapahoe Avenue,,40.013936403,-105.263207306,,0,America/Denver,0,
161599,13044,Colorado Avenue and Folsom Street,,40.008170445,-105.264976594,,0,America/Denver,0,
161600,33081,College Avenue and 9th Street NB,,40.007363,-105.281865,,0,America/Denver,0,
161601,12665,Canyon Boulevard and 28th Street,,40.017559468,-105.259581006,,0,America/Denver,0,
161602,33142,Folsom Street and Canyon Boulevard,,40.01634,-105.262939,,0,America/Denver,0,
161603,25131,Pearl Street and 15th Street,,40.018843957,-105.275796096,,0,America/Denver,0,
161604,33079,College Avenue and 13th Street,,40.00738,-105.275559,,0,America/Denver,0,
161605,33080,College Avenue and 11th Street,,40.007367,-105.27851,,0,America/Denver,0,
161606,23924,Pearl Street and 29th Street,,40.022854938,-105.256475388,,0,America/Denver,0,
161607,33073,29th Street and Canyon Boulevard,,40.018841765,-105.255839882,,0,America/Denver,0,
161608,33076,Folsom Street and Goss Street,,40.016497,-105.263201,,0,America/Denver,0,
161609,24356,Canyon Boulevard and 28th Street,,40.017331,-105.260012,,0,America/Denver,0,
161610,25126,Buffalo Folsom Field Plaza,,40.008373,-105.267625,,0,America/Denver,0,
161611,33137,Euclid Avenue and 14th Street,,40.005406,-105.274767,,0,America/Denver,0,
161612,19780,Pearl Street and 23rd Street,,40.02073,-105.265745,,0,America/Denver,0,
161613,33129,Pearl Street and 28th Street,,40.022006,-105.259402,,0,America/Denver,0,
161614,23925,Pearl Street and 29th Street,,40.022739976,-105.255854999,,0,America/Denver,0,
